
# Curve 0 of 1, 100 points
# Curve title: "exp(-1.2*x)+0.1*(rand(0)-0.5)"
# x y type
 0  0.966169  i
 0.10101  0.897603  i
 0.20202  0.793728  i
 0.30303  0.71367  i
 0.40404  0.665418  i
 0.505051  0.545335  i
 0.606061  0.451465  i
 0.707071  0.381215  i
 0.808081  0.405255  i
 0.909091  0.328428  i
 1.0101  0.325154  i
 1.11111  0.306711  i
 1.21212  0.201627  i
 1.31313  0.204058  i
 1.41414  0.158706  i
 1.51515  0.129946  i
 1.61616  0.113056  i
 1.71717  0.15563  i
 1.81818  0.067356  i
 1.91919  0.070205  i
 2.0202  0.108065  i
 2.12121  0.0990944  i
 2.22222  0.114339  i
 2.32323  0.095061  i
 2.42424  0.0639127  i
 2.52525  0.0977763  i
 2.62626  0.0435191  i
 2.72727  0.0457509  i
 2.82828  0.0751666  i
 2.92929  0.0180465  i
 3.0303  0.011235  i
 3.13131  0.0164683  i
 3.23232  0.0577743  i
 3.33333  0.0640677  i
 3.43434 -0.00635773  i
 3.53535  0.0330725  i
 3.63636 -0.0299007  i
 3.73737 -0.00406984  i
 3.83838  0.0310087  i
 3.93939 -0.03061  i
 4.0404  0.0101597  i
 4.14141 -0.0207669  i
 4.24242  0.0408724  i
 4.34343 -0.0311627  i
 4.44444 -0.0422092  i
 4.54545  0.0356964  i
 4.64646  0.00765413  i
 4.74747 -0.0382314  i
 4.84848 -0.0219994  i
 4.94949 -0.027653  i
 5.05051 -0.00435337  i
 5.15152  0.0325424  i
 5.25253  0.000854883  i
 5.35354  0.0100699  i
 5.45455 -0.00377604  i
 5.55556  0.00382649  i
 5.65657  0.0353152  i
 5.75758  0.0474097  i
 5.85859  0.0322804  i
 5.9596  0.0480048  i
 6.06061 -0.0173736  i
 6.16162  0.032566  i
 6.26263 -0.0101393  i
 6.36364  0.0251704  i
 6.46465  0.00664877  i
 6.56566 -0.0235513  i
 6.66667  0.0478614  i
 6.76768 -0.0213893  i
 6.86869  0.0292241  i
 6.9697  0.0205449  i
 7.07071 -0.0227548  i
 7.17172  0.030388  i
 7.27273 -0.0410921  i
 7.37374 -0.020198  i
 7.47475  0.0168195  i
 7.57576  0.0189364  i
 7.67677 -0.0151805  i
 7.77778  0.0493929  i
 7.87879  0.0123071  i
 7.9798 -0.0425059  i
 8.08081 -0.0142951  i
 8.18182 -0.0492473  i
 8.28283 -0.0462993  i
 8.38384 -0.000181568  i
 8.48485  0.0345027  i
 8.58586  0.0328689  i
 8.68687  0.0159802  i
 8.78788 -0.0485693  i
 8.88889  0.039809  i
 8.9899  0.0396746  i
 9.09091 -0.00833714  i
 9.19192 -0.0191429  i
 9.29293  0.0194958  i
 9.39394 -0.0159843  i
 9.49495 -0.045203  i
 9.59596 -0.000522697  i
 9.69697 -0.0443438  i
 9.79798 -0.0256749  i
 9.89899 -0.0251234  i
 10 -0.0210127  i

