
# Curve 0 of 1, 100 points
# Curve title: "1/(1.2+x**2)+0.05*(rand(0)-0.5)"
# x y type
 0  0.850851  i
 0.10101  0.808333  i
 0.20202  0.80776  i
 0.30303  0.752639  i
 0.40404  0.747401  i
 0.505051  0.693185  i
 0.606061  0.653742  i
 0.707071  0.570567  i
 0.808081  0.531694  i
 0.909091  0.472703  i
 1.0101  0.4532  i
 1.11111  0.400253  i
 1.21212  0.364477  i
 1.31313  0.333175  i
 1.41414  0.333554  i
 1.51515  0.3038  i
 1.61616  0.280817  i
 1.71717  0.265657  i
 1.81818  0.207686  i
 1.91919  0.189022  i
 2.0202  0.192813  i
 2.12121  0.173273  i
 2.22222  0.138499  i
 2.32323  0.149317  i
 2.42424  0.119621  i
 2.52525  0.137411  i
 2.62626  0.139119  i
 2.72727  0.0988512  i
 2.82828  0.126398  i
 2.92929  0.100659  i
 3.0303  0.0955372  i
 3.13131  0.0709165  i
 3.23232  0.0952787  i
 3.33333  0.103764  i
 3.43434  0.0597164  i
 3.53535  0.0650845  i
 3.63636  0.0799122  i
 3.73737  0.0462259  i
 3.83838  0.0457485  i
 3.93939  0.0524621  i
 4.0404  0.0517183  i
 4.14141  0.0784808  i
 4.24242  0.0726239  i
 4.34343  0.0679144  i
 4.44444  0.0262103  i
 4.54545  0.0482052  i
 4.64646  0.0241933  i
 4.74747  0.0299569  i
 4.84848  0.0536078  i
 4.94949  0.0620317  i
 5.05051  0.0177474  i
 5.15152  0.0444891  i
 5.25253  0.0354638  i
 5.35354  0.0164011  i
 5.45455  0.0193135  i
 5.55556  0.0539011  i
 5.65657  0.0335057  i
 5.75758  0.0239274  i
 5.85859  0.0394128  i
 5.9596  0.0520111  i
 6.06061  0.0498154  i
 6.16162  0.0136358  i
 6.26263  0.010485  i
 6.36364  0.0442884  i
 6.46465  0.00912296  i
 6.56566  0.0242789  i
 6.66667  0.00300547  i
 6.76768  0.0420452  i
 6.86869  0.0187455  i
 6.9697  0.0371436  i
 7.07071  0.00285284  i
 7.17172  0.0350162  i
 7.27273 -0.00073569  i
 7.37374  0.0179316  i
 7.47475  0.0331639  i
 7.57576  0.0184351  i
 7.67677  0.0142543  i
 7.77778  2.36008e-05  i
 7.87879 -0.00435839  i
 7.9798  0.018643  i
 8.08081  0.0251531  i
 8.18182  0.0169454  i
 8.28283  0.036372  i
 8.38384  0.0239386  i
 8.48485 -0.00755738  i
 8.58586 -0.0107924  i
 8.68687  0.00799064  i
 8.78788  0.000693607  i
 8.88889  0.00209615  i
 8.9899  0.0302427  i
 9.09091 -0.0097909  i
 9.19192  0.0363918  i
 9.29293  0.0171412  i
 9.39394  0.00838419  i
 9.49495 -0.0120673  i
 9.59596  0.00681028  i
 9.69697  0.000494265  i
 9.79798  0.0342652  i
 9.89899 -0.0106657  i
 10  0.0330278  i

